date_utc,route,trip_dates,price_usd,prev_price_usd,email_id
2026-05-27T01:59:29Z,MSP-PDX,2026-08-01/2026-08-06,497,572,19e6728861f47ba3
2026-05-28T01:59:17Z,MSP-PDX,2026-08-01/2026-08-06,462,497,19e6c4eb24ab7e53
2026-05-30T13:27:29Z,MSP-PDX,2026-08-01/2026-08-06,542,462,19e79117dcbcd170
2026-05-31T13:27:29Z,MSP-PDX,2026-08-01/2026-08-06,687,542,19e7e37d8be1e310
2026-06-03T13:21:34Z,MSP-PDX,2026-08-01/2026-08-06,542,687,19e8da58137e6b5d
2026-06-09T07:36:05Z,MSP-PDX,2026-08-01/2026-08-06,687,542,19eab4f5e7c98920
2026-06-10T07:36:07Z,MSP-PDX,2026-08-01/2026-08-06,617,687,19eb075be9bd8d2d
2026-06-11T07:36:06Z,MSP-PDX,2026-08-01/2026-08-06,652,617,19eb59c1aa3258ff
2026-06-12T07:36:07Z,MSP-PDX,2026-08-01/2026-08-06,572,652,19ebac27b617abc3
2026-06-13T07:36:08Z,MSP-PDX,2026-08-01/2026-08-06,492,572,19ebfe8d904dfd23
2026-06-16T13:22:35Z,MSP-PDX,2026-08-01/2026-08-06,667,492,19ed0991cea8c3b6
2026-06-21T11:36:50Z,MSP-PDX,2026-08-01/2026-08-06,582,667,19ee9f816a20202c
2026-06-22T11:37:00Z,MSP-PDX,2026-08-01/2026-08-06,547,582,19eef1e9823a8a51
2026-06-24T17:12:42Z,MSP-PDX,2026-08-01/2026-08-06,628,547,19efa9ea89d1c6f9
2026-06-25T17:12:40Z,MSP-PDX,2026-08-01/2026-08-06,509,628,19effc4fdaeb23e5
2026-06-27T00:27:09Z,MSP-PDX,2026-08-01/2026-08-06,559,509,19f0679229b7b975
2026-06-28T00:27:10Z,MSP-PDX,2026-08-01/2026-08-06,459,559,19f0b9f82a57550c
2026-06-29T06:49:57Z,MSP-PDX,2026-08-01/2026-08-06,509,459,19f122453afbb173
2026-06-30T09:39:53Z,MSP-PDX,2026-08-01/2026-08-06,668,509,19f17e6425f23d5e
2026-07-01T09:39:55Z,MSP-PDX,2026-08-01/2026-08-06,742,668,19f1d0ca4b5d94b0
2026-07-03T11:42:30Z,MSP-PDX,2026-08-01/2026-08-06,467,742,19f27c99728ed23f
2026-07-04T11:42:30Z,MSP-PDX,2026-08-01/2026-08-06,502,467,19f2ceff5a7c4d7d
2026-07-05T11:42:31Z,MSP-PDX,2026-08-01/2026-08-06,847,502,19f321655b700a59
2026-07-07T11:34:13Z,MSP-PDX,2026-08-01/2026-08-06,607,847,19f3c5b729b52dc9
2026-07-08T11:34:12Z,MSP-PDX,2026-08-01/2026-08-06,483,607,19f4181c72d6da50
2026-07-10T10:51:40Z,MSP-PDX,2026-08-01/2026-08-06,513,483,19f4ba78ef1464f5
2026-07-11T10:51:40Z,MSP-PDX,2026-08-01/2026-08-06,747,513,19f50cdee41b67de
2026-07-12T10:51:40Z,MSP-PDX,2026-08-01/2026-08-06,618,747,19f55f449ef62414
2026-07-14T11:01:30Z,MSP-PDX,2026-08-01/2026-08-06,578,618,19f604a0c07d0556
2026-07-15T21:08:05Z,MSP-PDX,2026-08-01/2026-08-06,538,578,19f679bb726b5d57
2026-07-16T23:07:37Z,MSP-PDX,2026-08-01/2026-08-06,502,538,19f6d2f83b1a12e2
2026-07-17T23:07:34Z,MSP-PDX,2026-08-01/2026-08-06,568,502,19f7255d3fb78001
2026-07-19T05:03:50Z,MSP-PDX,2026-08-01/2026-08-06,639,568,19f78c25903f7592
2026-07-19T10:12:35Z,MSP-PDX,2026-08-01/2026-08-06,567,502,19f79dd03e40eda5
2026-07-21T16:33:16Z,MSP-PDX,2026-08-01/2026-08-06,608,567,19f8586450aff1e7
2026-07-22T16:33:18Z,MSP-PDX,2026-08-01/2026-08-06,577,608,19f8aaca8ba35339
2026-07-23T16:33:21Z,MSP-WAS,2026-09-18/2026-09-20,747,678,19f8fd3107bff588
2026-07-24T16:33:26Z,MSP-PDX,2026-08-01/2026-08-06,677,577,19f94f97e4844755
2026-07-24T16:33:26Z,MSP-WAS,2026-09-18/2026-09-20,447,417,19f94f97e4844755
2026-07-25T18:37:08Z,MSP-WAS,2026-09-18/2026-09-20,520,447,19f9a911b7eb50a6
2026-07-26T18:36:55Z,MSP-PDX,2026-08-01/2026-08-06,742,677,19f9fb7422b7baed
2026-07-28T02:09:09Z,MSP-WAS,2026-09-18/2026-09-20,932,747,19fa67ba62e5bcf7
2026-07-29T02:09:07Z,MSP-WAS,2026-09-18/2026-09-20,476,520,19faba1fe175720d
2026-07-30T02:09:06Z,MSP-PDX,2026-08-01/2026-08-06,783,742,19fb0c85320bc2d1
2026-07-31T02:09:06Z,MSP-WAS,2026-09-18/2026-09-20,418,476,19fb5eeb1cb1f04b
2026-08-01T02:09:07Z,MSP-WAS,2026-09-18/2026-09-20,1042,932,19fbb15110e75c67
2026-08-03T00:10:26Z,MSP-WAS,2026-09-18/2026-09-20,972,1042,19fc4f522ee8fa25
